Dátum;Idő;Konyha(East) C;Konyha(East) P ;Előszoba(South) C;Előszoba(South) P;Lépcső(West) C;Lépcső(West) P;Lépcső(North) C;Lépcső(North) P;Galéria (Roof) C;Galéria(Roof) P;Kint (Outside) C;Kint (Outside) P;;;;;;;;;;;
2023-12-04;19:00;21;34;16;45;20;35;21;35;22;36;2;80;;;;;;;;;;;
2023-12-06;7:00;20;33;15;41;20;35;21;36;24;24;2;78;;;;;;;;;;;
2023-12-08;14:00;20;34;15;43;20;33;22;34;22;32;7;56;;;;;;;;;;;
2023-12-10;11:00;20;34;10;42;20;34;21;34;21;29;4;82;;;;;;;;;;;
2023-12-12;19:00;20;30;13;41;21;31;21;31;21;29;1;77;;;;;;;;;;;
2023-12-14;15:00;18;32;11;46;20;32;21;32;20;30;3;83;;;;;;;;;;;
2023-12-16;7:00;20;34;13;44;19;33;20;34;20;29;2;93;;;;;;;;;;;
2023-12-18;8:00;19;32;13;42;18;34;18;33;21;41;0;86;;;;;;;;;;;
2023-12-20;3:00;18;31;16;31;10;46;19;30;22;29;0;85;;;;;;;;;;;
2023-12-22;17:00;18;33;14;35;19;31;20;31;21;29;0;83;;;;;;;;;;;
2023-12-24;8:00;18;29;9;40;18;32;20;30;21;24;-4;84;;;;;;;;;;;
2023-12-26;8:00;19;35;13;46;19;33;19;33;23;29;3;92;;;;;;;;;;;
2023-12-28;3:00;20;37;16;47;20;38;20;38;22;42;8;80;;;;;;;;;;;
2023-12-30;8:00;19;38;13;44;19;34;20;35;20;30;3;91;;;;;;;;;;;
2024-01-02;10:00;19;33;12;44;19;34;20;33;20;24;5;87;;;;;;;;;;;
2024-01-05;15:00;20;36;16;50;20;32;21;32;22;37;8;77;;;;;;;;;;;
2024-01-08;16:00;18;33;13;45;21;18;23;20;21;39;6;95;;;;;;;;;;;
2024-01-11;10:00;18;34;13;43;20;32;20;32;20;29;6;95;;;;;;;;;;;
2024-01-14;10:00;18;30;9;39;18;39;22;26;20;31;8;77;;;;;;;;;;;
2024-01-17;15:00;20;34;14;47;20;32;23;26;21;34;10;34;;;;;;;;;;;
2024-01-20;16:00;19;35;14;46;19;32;22;29;21;32;9;51;;;;;;;;;;;
2024-01-23;16:00;20;35;15;42;20;33;21;30;23;29;7;71;;;;;;;;;;;
2024-01-26;7:00;20;35;15;40;19;35;20;31;23;32;6;59;;;;;;;;;;;
2024-01-29;15:00;20;34;17;42;20;31;22;28;23;32;7;57;;;;;;;;;;;
2024-02-01;16:00;19;35;14;47;20;27;24;27;21;29;7;65;;;;;;;;;;;
2024-02-04;15:00;10;31;14;47;20;27;24;27;21;32;7;65;;;;;;;;;;;
2024-02-07;15:00;19;38;13;50;20;31;23;28;21;32;7;64;;;;;;;;;;;
2024-02-10;18:00;19;34;14;47;20;30;21;31;22;32;7;83;;;;;;;;;;;
2024-02-13;16:00;22;40;20;45;21;38;21;34;23;40;13;60;;;;;;;;;;;
2024-02-16;10:00;21;39;19;45;20;39;21;34;23;39;15;50;;;;;;;;;;;
2024-02-19;8:00;20;34;18;39;21;36;21;32;20;32;6;74;;;;;;;;;;;
2024-02-22;16:00;22;40;18;51;21;38;21;37;23;40;13;65;;;;;;;;;;;
2024-02-25;15:00;23;39;18;51;22;36;22;34;22;40;14;56;;;;;;;;;;;
2024-02-28;9:00;22;38;20;47;21;39;22;35;23;37;10;58;;;;;;;;;;;
2024-03-02;15:00;22;38;16;50;21;39;22;36;25;36;11;78;;;;;;;;;;;
2024-03-05;10:00;22;33;15;41;20;36;21;35;22;32;9;71;;;;;;;;;;;
2024-03-08;8:00;22;35;16;42;21;38;21;38;21;32;10;75;;;;;;;;;;;
2024-03-11;8:00;22;36;17;40;21;39;20;38;22;34;9;68;;;;;;;;;;;
2024-03-14;7:00;21;40;17;47;19;40;19;44;22;47;8;85;;;;;;;;;;;
2024-03-17;7:00;21;37;16;42;20;39;20;40;22;34;9;73;;;;;;;;;;;
2024-03-20;15:00;22;42;21;48;21;39;20;42;25;42;14;52;;;;;;;;;;;
2024-03-23;10:00;21;37;17;42;20;37;20;40;22;39;12;54;;;;;;;;;;;
2024-03-26;7:00;20;32;24;36;20;35;20;36;21;29;5;67;;;;;;;;;;;
2024-03-29;7:00;22;38;18;43;21;40;21;39;24;34;12;72;;;;;;;;;;;
2024-04-01;7:00;20;38;12;38;20;40;21;36;20;29;9;64;;;;;;;;;;;
2024-04-04;8:00;21;33;16;40;21;38;21;35;21;32;12;61;;;;;;;;;;;
2024-04-07;8:00;24;42;20;45;22;44;22;41;22;40;16;56;;;;;;;;;;;
2024-04-10;8:00;23;39;20;39;22;42;22;41;24;34;12;72;;;;;;;;;;;
2024-04-12;8:00;24;42;23;42;22;45;22;45;26;35;16;73;;;;;;;;;;;
2024-04-14;7:00;24;42;25;39;23;44;21;47;25;39;12;58;;;;;;;;;;;
2024-04-16;10:00;23;39;23;40;21;41;21;48;24;45;17;50;;;;;;;;;;;
2024-04-18;16:00;26;49;26;46;24;51;24;49;27;51;28;31;;;;;;;;;;;
2024-04-20;8:00;27;32;21;33;16;34;21;36;21;43;13;52;;;;;;;;;;;
2024-04-22;15:00;22;39;20;38;21;39;21;44;23;44;14;41;;;;;;;;;;;
2024-04-24;17:00;21;34;18;38;21;36;21;42;22;36;7;77;;;;;;;;;;;
2024-04-26;8:00;22;34;19;37;21;36;21;41;23;29;15;55;;;;;;;;;;;
2024-04-28;8:00;22;41;22;40;21;44;22;45;24;42;22;49;;;;;;;;;;;
2024-04-30;9:00;25;43;23;42;24;43;23;46;25;37;27;42;;;;;;;;;;;
2024-05-02;8:00;25;42;24;43;23;45;24;46;26;41;16;70;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
